,Weekend,Season,Weather,RoadCond,PoliceActivity,NoJourneys,Country,AvgSpeed,DangerLvl,NoAccidents,NoFatalities
4179,working,winter,bad,bad,,medium,Europe,low,low,medium,high
4180,weekend,fall,good,good,regular,,Europe,low,low,low,medium
4181,working,summer,good,,regular,medium,US,high,low,low,low
4182,weekend,summer,good,good,regular,low,US,high,low,low,low
4183,weekend,summer,bad,good,regular,medium,UK,high,low,low,low
4184,working,spring,bad,,regular,low,US,low,low,low,low
4185,working,summer,good,good,,medium,UK,low,low,low,medium
4186,weekend,summer,good,good,regular,medium,Europe,high,low,low,low
4187,working,spring,good,good,regular,medium,Europe,low,low,medium,low
4188,,winter,bad,bad,regular,low,US,low,low,,low
4189,weekend,spring,good,good,regular,medium,US,low,low,high,high
4190,weekend,spring,good,bad,regular,medium,Europe,high,high,high,high
4191,weekend,winter,bad,bad,,low,Europe,high,low,low,medium
4192,,winter,bad,bad,regular,medium,UK,,high,high,high
4193,working,spring,bad,bad,regular,medium,UK,,low,low,low
4194,working,spring,good,good,regular,medium,Europe,low,low,medium,medium
4195,working,spring,bad,,regular,medium,US,low,,low,low
4196,working,,good,good,regular,medium,UK,low,low,,high
4197,weekend,winter,bad,bad,regular,medium,US,low,low,low,medium
4198,working,fall,good,good,regular,medium,US,high,low,high,medium
4199,working,spring,bad,bad,regular,medium,UK,low,low,medium,low
4200,weekend,winter,bad,bad,regular,low,,high,low,low,low
4201,weekend,fall,bad,bad,regular,low,Europe,low,low,low,high
4202,working,summer,good,good,regular,,US,high,low,low,low
4203,working,fall,bad,bad,regular,low,US,low,low,low,low
4204,,spring,good,good,regular,medium,Europe,low,low,low,low
4205,holiday,spring,bad,bad,regular,low,US,low,low,high,medium
4206,weekend,summer,good,good,regular,medium,,high,low,low,low
4207,working,,bad,bad,regular,medium,US,low,low,low,low
4208,weekend,winter,bad,bad,regular,medium,US,low,low,medium,low
4209,working,summer,good,good,regular,medium,Europe,high,,medium,high
4210,working,fall,bad,,regular,medium,Europe,low,low,medium,medium
4211,holiday,fall,bad,good,regular,low,UK,high,low,low,low
4212,working,summer,good,good,regular,medium,Europe,high,low,low,
4213,weekend,winter,good,bad,regular,medium,UK,low,,low,low
4214,weekend,summer,,bad,regular,low,Europe,low,low,low,
4215,working,summer,good,good,regular,medium,Europe,low,low,low,low
4216,working,fall,good,good,regular,medium,UK,low,low,low,medium
4217,working,winter,good,bad,regular,medium,US,low,low,,low
4218,working,spring,good,good,regular,medium,US,,low,medium,high
4219,working,summer,good,good,regular,,UK,high,low,,high
4220,weekend,spring,bad,bad,regular,low,Europe,high,low,low,medium
4221,holiday,fall,good,good,regular,low,UK,low,low,high,high
4222,working,fall,good,good,increased,medium,US,low,low,low,low
4223,weekend,,good,good,regular,low,Europe,low,low,low,low
4224,weekend,summer,good,good,regular,medium,Europe,high,low,medium,medium
4225,working,fall,bad,bad,,medium,UK,low,low,low,low
4226,working,spring,good,good,regular,medium,US,high,low,low,low
4227,working,summer,good,good,regular,medium,Europe,low,low,low,low
4228,weekend,summer,good,good,regular,medium,US,high,low,low,medium
4229,working,summer,good,good,regular,medium,UK,low,low,medium,low
4230,working,spring,good,good,regular,medium,Europe,high,low,medium,low
4231,working,winter,bad,bad,,low,Europe,low,low,high,low
4232,weekend,spring,bad,bad,increased,low,Europe,high,high,high,high
4233,working,summer,good,good,regular,low,Europe,low,low,low,
4234,working,,bad,bad,regular,,Europe,low,low,high,medium
4235,working,fall,good,,regular,medium,Europe,high,low,low,low
4236,holiday,summer,bad,good,regular,medium,Europe,low,low,medium,medium
4237,weekend,winter,bad,bad,regular,low,,low,low,medium,medium
4238,working,winter,bad,bad,regular,medium,Europe,low,low,medium,high
4239,working,fall,good,good,regular,low,US,high,low,low,medium
4240,working,spring,bad,bad,regular,low,UK,low,low,low,low
4241,working,fall,bad,bad,regular,medium,UK,low,low,medium,high
4242,weekend,spring,good,good,regular,medium,US,high,low,medium,medium
4243,working,fall,bad,good,regular,medium,US,low,low,low,low
4244,working,fall,good,good,regular,medium,US,high,low,low,low
4245,working,summer,,good,regular,low,US,high,high,medium,high
4246,working,fall,,good,regular,medium,UK,high,low,low,low
4247,weekend,spring,bad,bad,regular,medium,UK,low,low,high,medium
4248,,winter,bad,bad,regular,medium,UK,low,low,low,low
4249,working,spring,good,good,regular,low,US,high,low,low,low
4250,,summer,good,bad,regular,medium,Europe,low,low,medium,
4251,holiday,spring,good,good,regular,medium,,high,high,,low
4252,working,spring,bad,bad,regular,low,Europe,,low,medium,high
4253,working,winter,bad,,regular,medium,UK,low,low,low,low
4254,working,spring,,bad,regular,medium,Europe,low,low,medium,medium
4255,,summer,good,good,regular,medium,US,high,low,low,low
4256,,,good,good,increased,low,Europe,low,low,medium,low
4257,weekend,winter,bad,bad,regular,medium,US,low,low,medium,low
4258,working,fall,bad,bad,regular,low,Europe,low,low,,low
4259,working,fall,bad,bad,regular,low,Europe,high,low,medium,medium
4260,,summer,good,good,increased,medium,US,low,low,low,medium
4261,,winter,bad,,increased,,US,low,low,low,
4262,weekend,summer,good,good,regular,medium,Europe,low,low,medium,low
4263,working,summer,good,good,regular,,UK,low,low,medium,high
4264,weekend,summer,good,good,regular,medium,US,high,low,high,high
4265,working,winter,bad,bad,regular,low,Europe,low,low,low,low
4266,working,spring,bad,good,regular,medium,US,low,low,,medium
4267,weekend,fall,bad,bad,regular,medium,Europe,low,low,,medium
4268,working,,bad,bad,regular,,US,high,low,low,medium
4269,holiday,spring,,good,regular,medium,US,high,low,medium,medium
4270,weekend,fall,good,,regular,,Europe,low,low,,low
4271,working,winter,bad,bad,regular,medium,UK,low,low,low,medium
4272,,,good,good,regular,medium,Europe,low,low,low,low
4273,working,fall,good,good,regular,medium,Europe,high,low,medium,medium
4274,working,spring,bad,good,regular,medium,US,low,low,medium,
4275,weekend,summer,good,good,regular,medium,Europe,high,low,low,
4276,weekend,summer,good,bad,regular,medium,Europe,low,low,low,medium
4277,,summer,good,good,,medium,UK,high,low,medium,medium
4278,working,summer,good,,regular,,,high,low,low,medium
4279,,,bad,good,regular,low,US,low,low,,low
4280,working,spring,good,good,increased,low,Europe,high,low,low,medium
4281,working,summer,good,,regular,low,US,high,low,low,low
4282,weekend,spring,good,good,regular,medium,UK,low,low,medium,low
4283,working,fall,bad,bad,regular,low,UK,low,low,medium,medium
4284,working,winter,bad,bad,regular,low,US,high,low,medium,
4285,weekend,summer,good,good,regular,medium,,low,low,low,medium
4286,working,spring,bad,bad,increased,low,Europe,low,low,low,low
4287,working,spring,good,good,regular,medium,US,,high,high,high
4288,weekend,spring,bad,bad,,medium,Europe,low,low,low,low
4289,working,spring,bad,bad,regular,low,US,low,low,low,low
4290,working,winter,good,good,regular,low,US,low,low,medium,medium
4291,weekend,spring,good,,regular,medium,Europe,low,low,low,low
4292,working,fall,bad,bad,regular,low,Europe,high,high,low,medium
4293,working,summer,good,good,regular,medium,US,high,low,low,medium
4294,weekend,spring,bad,bad,regular,medium,Europe,high,low,low,medium
4295,weekend,summer,good,good,,low,Europe,low,low,medium,low
4296,,summer,bad,good,,low,Europe,high,low,low,low
4297,weekend,winter,good,good,regular,low,Europe,low,low,low,low
4298,working,winter,bad,bad,regular,medium,Europe,low,low,low,low
4299,working,summer,bad,bad,regular,low,Europe,high,high,low,low
4300,working,winter,bad,bad,,low,Europe,low,low,low,low
4301,working,spring,bad,good,regular,medium,US,low,low,medium,low
4302,,fall,bad,bad,regular,low,Europe,low,low,high,high
4303,working,summer,good,good,regular,medium,Europe,high,low,medium,high
4304,working,summer,good,good,regular,medium,UK,high,low,low,medium
4305,weekend,spring,bad,bad,regular,low,,low,low,low,low
4306,,spring,bad,good,regular,medium,UK,high,low,low,low
4307,working,fall,good,good,,low,Europe,low,low,low,low
4308,working,spring,bad,bad,regular,medium,Europe,low,low,low,
4309,working,fall,good,good,regular,low,UK,high,low,low,low
4310,working,summer,good,bad,regular,medium,Europe,low,low,high,medium
4311,weekend,spring,bad,bad,regular,low,Europe,high,low,medium,medium
4312,weekend,,bad,,regular,low,Europe,high,,low,medium
4313,working,fall,good,good,,medium,US,low,low,medium,high
4314,working,winter,bad,bad,regular,medium,US,low,,low,medium
4315,weekend,winter,bad,bad,regular,low,Europe,low,,medium,low
4316,weekend,spring,bad,bad,regular,low,Europe,low,low,medium,low
4317,working,,bad,bad,regular,low,Europe,,low,low,low
4318,working,winter,bad,bad,regular,medium,US,low,,low,high
4319,working,winter,bad,bad,regular,,US,high,high,high,low
4320,working,summer,good,good,,medium,US,low,low,low,low
4321,working,winter,bad,bad,regular,low,Europe,low,low,,low
4322,,winter,bad,bad,regular,medium,Europe,low,low,medium,high
4323,working,fall,good,bad,,medium,US,,low,medium,medium
4324,working,spring,bad,bad,increased,medium,Europe,low,low,medium,medium
4325,working,,good,good,regular,low,Europe,high,low,low,low
4326,weekend,,bad,bad,regular,low,Europe,low,low,low,medium
4327,weekend,summer,good,good,regular,medium,UK,high,low,low,low
4328,weekend,winter,bad,bad,regular,medium,Europe,low,low,medium,medium
4329,working,winter,good,bad,regular,low,US,low,low,medium,high
4330,working,spring,good,good,increased,medium,Europe,low,low,high,high
4331,holiday,spring,bad,good,regular,low,Europe,low,low,low,medium
4332,working,fall,good,good,regular,low,US,high,low,low,low
4333,working,spring,good,good,regular,medium,US,high,low,low,medium
4334,weekend,winter,bad,bad,,medium,US,low,low,high,high
4335,working,summer,bad,bad,regular,medium,Europe,,,high,
4336,working,spring,good,good,regular,medium,Europe,low,low,medium,low
4337,weekend,summer,good,good,regular,low,US,low,low,low,low
4338,,spring,good,bad,regular,medium,US,low,low,medium,high
4339,weekend,spring,bad,good,regular,low,Europe,high,,medium,low
4340,weekend,fall,good,good,regular,,Europe,high,,high,high
4341,,fall,bad,bad,regular,,Europe,high,low,medium,medium
4342,working,,bad,bad,regular,medium,Europe,high,low,medium,high
4343,weekend,fall,good,bad,increased,medium,UK,low,low,high,medium
4344,working,summer,good,bad,regular,medium,Europe,low,low,medium,high
4345,weekend,fall,bad,bad,regular,low,Europe,high,low,low,low
4346,working,fall,bad,bad,regular,low,US,low,low,low,medium
4347,working,winter,good,good,regular,,Europe,high,low,low,low
4348,weekend,spring,bad,,regular,medium,Europe,high,low,medium,low
4349,working,summer,good,good,regular,medium,US,high,low,low,medium
4350,holiday,summer,good,good,regular,medium,Europe,high,low,low,low
4351,working,fall,good,good,increased,medium,UK,high,low,low,low
4352,working,fall,bad,bad,regular,low,US,low,low,low,low
4353,,fall,,,,,Europe,low,low,high,low
4354,holiday,fall,good,good,regular,medium,US,high,low,low,low
4355,working,winter,bad,bad,regular,low,UK,high,low,low,medium
4356,working,spring,good,good,regular,medium,US,high,low,low,low
4357,working,winter,bad,good,increased,medium,Europe,low,,low,low
4358,working,,good,good,regular,medium,US,high,low,high,high
4359,working,winter,bad,bad,increased,low,Europe,low,low,low,low
4360,working,winter,bad,bad,regular,medium,US,low,low,low,low
4361,working,winter,,bad,regular,medium,US,low,low,low,medium
4362,weekend,spring,bad,bad,regular,low,UK,low,,high,medium
4363,working,summer,good,good,regular,medium,Europe,low,low,low,medium
4364,weekend,fall,bad,bad,regular,medium,Europe,low,low,low,high
4365,working,spring,good,good,regular,medium,Europe,low,low,,low
4366,working,fall,good,good,regular,medium,US,high,low,low,low
4367,working,fall,,good,regular,medium,Europe,low,low,medium,low
4368,working,winter,bad,bad,regular,medium,Europe,low,low,high,high
4369,weekend,summer,good,good,regular,medium,US,low,low,high,medium
4370,weekend,spring,bad,bad,increased,low,US,high,low,low,low
4371,working,fall,good,good,regular,low,US,high,,low,low
4372,weekend,summer,good,good,regular,medium,UK,high,low,low,low
4373,working,summer,good,good,regular,low,Europe,high,low,,low
4374,weekend,fall,bad,good,regular,low,Europe,high,low,low,medium
4375,working,winter,bad,bad,regular,medium,Europe,low,low,low,
4376,working,summer,good,good,regular,medium,Europe,high,low,medium,medium
4377,working,summer,bad,bad,regular,low,US,low,low,high,medium
4378,working,spring,bad,bad,regular,medium,Europe,low,low,low,low
4379,weekend,summer,good,good,regular,medium,Europe,high,low,high,high
4380,working,spring,good,good,regular,medium,Europe,high,low,low,
4381,holiday,winter,bad,bad,regular,medium,Europe,low,low,medium,low
4382,working,fall,bad,bad,regular,medium,UK,low,low,high,medium
4383,working,spring,good,good,regular,medium,Europe,high,,medium,medium
4384,working,winter,bad,bad,,,UK,low,low,low,medium
4385,,fall,good,good,increased,,US,low,,medium,medium
4386,weekend,fall,bad,bad,regular,low,Europe,high,high,low,low
4387,working,summer,bad,bad,regular,low,US,low,low,low,low
4388,working,spring,good,good,regular,medium,US,high,low,low,low
4389,weekend,spring,bad,bad,regular,low,UK,low,low,low,low
4390,working,summer,good,good,regular,medium,UK,,low,low,medium
4391,,winter,bad,,regular,medium,US,low,low,low,medium
4392,working,winter,bad,bad,regular,medium,Europe,low,low,low,low
4393,weekend,winter,bad,bad,increased,low,Europe,low,low,medium,high
4394,working,summer,good,good,regular,medium,Europe,low,low,high,low
4395,holiday,winter,bad,bad,regular,medium,UK,low,low,medium,low
4396,holiday,fall,bad,bad,regular,low,Europe,low,low,low,low
4397,weekend,spring,bad,bad,regular,low,UK,low,low,low,high
4398,working,spring,bad,good,regular,medium,Europe,low,low,high,medium
4399,weekend,fall,good,good,regular,medium,Europe,low,low,medium,medium
4400,working,summer,good,good,regular,medium,Europe,high,low,medium,medium
4401,weekend,fall,good,good,regular,low,UK,high,low,,low
4402,holiday,winter,bad,bad,regular,low,Europe,low,low,high,high
4403,weekend,fall,good,bad,regular,medium,US,,low,low,low
4404,weekend,spring,bad,bad,regular,medium,Europe,high,low,high,high
4405,working,summer,good,good,regular,medium,Europe,low,low,medium,medium
4406,working,spring,good,good,regular,medium,Europe,low,low,low,low
4407,,summer,good,good,regular,medium,Europe,high,low,low,low
4408,working,summer,good,good,regular,medium,US,high,low,low,low
4409,working,summer,good,good,regular,medium,US,high,low,medium,low
4410,working,winter,good,good,regular,low,US,high,low,low,medium
4411,holiday,winter,bad,bad,regular,low,US,high,low,low,low
4412,weekend,fall,good,bad,regular,medium,UK,low,low,low,low
4413,holiday,winter,bad,bad,regular,low,Europe,low,low,low,low
4414,working,winter,bad,bad,,medium,Europe,high,low,low,low
4415,working,winter,good,good,regular,medium,Europe,high,low,high,medium
4416,working,spring,good,good,regular,medium,Europe,high,low,medium,high
4417,working,,good,good,regular,medium,Europe,high,,low,low
4418,weekend,spring,good,good,regular,low,US,high,low,low,medium
4419,working,winter,bad,bad,regular,medium,Europe,low,low,medium,medium
4420,working,,bad,bad,regular,low,UK,low,low,high,medium
4421,working,summer,good,good,regular,medium,Europe,low,low,low,low
4422,working,spring,bad,bad,,medium,US,low,low,medium,high
4423,working,spring,bad,bad,regular,low,US,low,low,low,medium
4424,weekend,summer,good,bad,regular,medium,,low,low,low,low
4425,working,fall,bad,good,regular,low,US,high,low,medium,high
4426,working,fall,good,good,regular,medium,US,high,low,low,low
4427,weekend,winter,bad,bad,regular,low,Europe,low,low,low,high
4428,weekend,spring,bad,bad,regular,low,UK,high,low,high,high
4429,working,winter,bad,good,regular,low,US,high,low,low,low
4430,working,spring,bad,good,regular,low,US,high,,low,medium
4431,weekend,spring,bad,good,regular,low,US,low,low,low,low
4432,working,spring,bad,bad,regular,low,US,low,low,high,high
4433,working,fall,good,good,regular,medium,US,high,low,low,low
4434,working,fall,good,good,regular,medium,US,high,low,low,low
4435,working,fall,bad,bad,regular,medium,US,,low,low,medium
4436,weekend,winter,bad,good,regular,medium,Europe,low,low,medium,low
4437,working,fall,good,good,regular,low,Europe,high,,,low
4438,working,fall,bad,bad,regular,medium,Europe,low,low,high,medium
4439,holiday,spring,,bad,regular,low,Europe,low,low,high,medium
4440,working,summer,good,bad,regular,medium,US,low,low,medium,medium
4441,working,fall,bad,bad,regular,low,US,low,low,low,low
4442,working,winter,bad,bad,regular,low,UK,low,low,low,low
4443,working,fall,good,bad,regular,medium,US,high,low,medium,medium
4444,working,summer,,good,regular,medium,US,,low,medium,low
4445,,summer,good,good,regular,medium,Europe,low,low,low,low
4446,working,winter,good,good,regular,,Europe,high,low,low,low
4447,weekend,summer,good,good,regular,medium,US,high,low,high,high
4448,weekend,winter,bad,bad,regular,medium,Europe,high,low,medium,high
4449,working,summer,good,good,increased,medium,US,low,low,,medium
4450,working,fall,bad,bad,regular,medium,Europe,high,low,low,low
4451,weekend,summer,good,good,regular,medium,US,high,low,high,low
4452,working,fall,bad,bad,regular,low,,low,low,low,low
4453,working,winter,good,good,regular,low,Europe,,low,medium,high
4454,weekend,winter,bad,bad,regular,medium,Europe,low,low,low,
4455,working,winter,bad,bad,regular,medium,US,low,low,high,high
4456,working,winter,bad,bad,regular,medium,US,low,low,high,high
4457,working,spring,bad,bad,regular,medium,Europe,low,low,low,low
4458,working,winter,bad,bad,regular,low,UK,low,low,low,medium
4459,working,winter,bad,good,regular,medium,UK,low,,high,high
4460,working,spring,good,good,regular,medium,UK,high,,medium,high
4461,working,summer,good,good,regular,medium,UK,low,low,low,low
4462,working,winter,bad,good,regular,low,US,low,low,low,low
4463,working,spring,good,good,regular,low,Europe,high,low,low,low
4464,working,winter,,bad,regular,low,Europe,low,low,high,low
4465,working,fall,good,bad,regular,medium,US,low,low,medium,high
4466,working,fall,bad,good,increased,medium,Europe,low,low,medium,medium
4467,,fall,bad,bad,regular,low,US,high,low,low,low
4468,weekend,winter,bad,bad,regular,low,Europe,low,low,medium,medium
4469,weekend,,good,good,regular,medium,Europe,high,,medium,low
4470,working,summer,good,good,regular,medium,Europe,high,low,low,
4471,working,summer,good,good,regular,medium,Europe,low,low,high,medium
4472,weekend,spring,bad,bad,regular,medium,UK,low,low,low,low
4473,working,spring,good,good,regular,medium,US,high,low,low,
4474,weekend,summer,good,good,regular,medium,UK,,low,medium,high
4475,weekend,fall,good,good,regular,low,Europe,high,low,low,low
4476,weekend,fall,good,good,regular,medium,Europe,high,,high,low
4477,working,spring,bad,bad,regular,medium,Europe,high,high,high,high
4478,working,fall,bad,bad,regular,medium,Europe,low,high,high,low
4479,working,summer,good,good,regular,low,Europe,high,low,low,low
4480,holiday,winter,bad,bad,regular,,US,low,low,low,low
4481,working,summer,bad,bad,,medium,US,,low,low,low
4482,working,fall,good,good,regular,medium,Europe,high,low,,low
4483,working,winter,bad,bad,regular,medium,Europe,high,low,medium,medium
4484,weekend,summer,bad,good,regular,low,US,high,high,low,low
4485,working,summer,bad,bad,regular,low,Europe,low,low,medium,medium
4486,working,summer,good,good,regular,medium,US,low,low,low,low
4487,weekend,spring,good,bad,regular,medium,Europe,low,low,low,low
4488,working,spring,good,good,regular,low,US,low,low,medium,
4489,working,summer,good,bad,regular,low,US,high,low,high,medium
4490,working,summer,good,good,,medium,US,high,low,low,low
4491,,winter,bad,bad,regular,low,UK,low,low,low,low
4492,weekend,fall,good,good,regular,medium,US,high,low,,low
4493,working,fall,bad,bad,regular,,Europe,low,low,low,low
4494,working,summer,good,good,regular,medium,,high,low,medium,high
4495,working,summer,good,,regular,medium,US,high,low,low,low
4496,working,spring,,good,regular,medium,US,low,low,medium,high
4497,working,winter,good,bad,regular,medium,US,low,low,medium,high
4498,working,winter,bad,bad,regular,medium,Europe,low,low,low,medium
4499,working,summer,good,good,increased,medium,Europe,low,low,medium,low
4500,working,summer,good,good,regular,medium,US,high,,medium,low
4501,working,summer,good,good,regular,medium,Europe,high,low,high,high
4502,working,fall,good,bad,regular,medium,US,low,low,high,high
4503,holiday,fall,,good,regular,low,Europe,high,low,low,low
4504,working,spring,good,bad,regular,medium,Europe,low,low,low,medium
4505,working,fall,good,good,regular,medium,Europe,high,low,low,low
4506,working,spring,bad,good,regular,low,Europe,high,low,low,low
4507,working,winter,bad,,regular,low,UK,low,low,low,low
4508,weekend,winter,bad,bad,increased,medium,Europe,low,low,low,low
4509,working,fall,good,bad,regular,medium,US,low,low,low,low
4510,working,fall,good,good,regular,medium,UK,low,low,,low
4511,holiday,summer,good,good,regular,medium,Europe,low,low,low,low
4512,working,summer,bad,bad,regular,medium,Europe,low,low,low,low
4513,,spring,bad,bad,regular,medium,US,high,low,medium,medium
4514,working,spring,good,good,regular,low,US,low,low,medium,low
4515,working,winter,bad,bad,regular,low,UK,low,low,low,medium
4516,working,fall,,good,regular,medium,Europe,low,low,medium,medium
4517,working,winter,bad,bad,regular,low,Europe,low,low,low,low
4518,working,fall,bad,bad,regular,medium,,low,low,medium,low
4519,weekend,fall,good,good,regular,low,UK,low,low,low,low
4520,holiday,fall,good,good,regular,low,US,low,low,,low
4521,working,summer,good,good,regular,medium,US,high,high,high,medium
4522,working,winter,good,good,regular,low,Europe,low,low,low,medium
4523,working,winter,bad,bad,regular,medium,US,high,low,medium,
4524,working,summer,good,good,regular,medium,US,high,low,low,low
4525,weekend,fall,good,good,regular,medium,UK,high,low,medium,medium
4526,working,spring,bad,bad,regular,medium,Europe,high,high,high,low
4527,working,summer,good,good,regular,medium,UK,high,high,high,low
4528,working,winter,bad,good,regular,low,US,high,low,low,medium
4529,weekend,winter,good,bad,regular,medium,UK,low,low,high,medium
4530,working,spring,good,good,regular,low,UK,high,low,medium,high
4531,working,fall,good,good,regular,medium,Europe,high,low,medium,low
4532,working,spring,good,good,regular,medium,US,low,low,medium,high
4533,weekend,summer,,good,regular,medium,UK,high,low,low,low
4534,working,spring,good,,regular,medium,Europe,low,low,low,low
4535,weekend,spring,good,good,regular,medium,UK,low,low,low,low
4536,weekend,fall,good,good,,medium,US,low,low,low,low
4537,weekend,spring,,bad,regular,medium,Europe,low,,medium,low
4538,working,fall,good,bad,regular,medium,Europe,low,low,low,low
4539,working,summer,good,good,regular,low,Europe,high,high,low,low
4540,weekend,summer,good,good,regular,medium,US,high,low,medium,high
4541,working,spring,bad,bad,regular,low,US,high,low,low,low
4542,weekend,summer,good,good,regular,medium,US,low,low,low,low
4543,weekend,summer,good,good,regular,medium,Europe,low,low,medium,medium
4544,weekend,winter,bad,bad,regular,medium,Europe,high,low,medium,medium
4545,working,spring,good,good,regular,medium,Europe,high,low,medium,high
4546,working,spring,good,bad,regular,medium,US,high,low,medium,high
4547,working,fall,good,good,regular,medium,Europe,high,low,low,low
4548,,summer,good,good,regular,medium,Europe,high,high,high,high
4549,holiday,spring,good,good,regular,medium,US,high,low,medium,medium
4550,weekend,,,good,regular,medium,Europe,low,low,high,high
4551,working,fall,bad,bad,regular,medium,US,high,low,low,medium
4552,weekend,fall,good,,regular,medium,US,high,low,high,medium
4553,working,winter,bad,bad,increased,medium,US,low,low,high,medium
4554,working,fall,good,good,regular,medium,Europe,low,low,medium,low
4555,weekend,spring,good,bad,regular,medium,US,high,low,low,low
4556,working,winter,good,good,regular,medium,Europe,low,,low,medium
4557,working,summer,bad,bad,regular,medium,US,high,low,medium,medium
4558,weekend,fall,good,good,regular,medium,Europe,high,low,medium,medium
4559,working,winter,bad,bad,regular,low,Europe,low,low,low,
4560,working,fall,bad,bad,regular,medium,Europe,low,low,medium,
4561,working,fall,good,good,,low,US,low,low,low,low
4562,working,spring,,bad,regular,low,Europe,low,low,low,low
4563,working,spring,good,bad,,low,Europe,low,low,low,
4564,weekend,fall,bad,bad,regular,medium,,low,low,low,low
4565,weekend,winter,bad,good,regular,medium,UK,high,,high,
4566,working,spring,good,good,regular,medium,Europe,low,low,low,low
4567,weekend,winter,bad,,regular,low,UK,high,,low,low
4568,working,spring,good,good,regular,medium,US,low,low,low,low
4569,working,spring,bad,bad,regular,low,US,low,low,high,high
4570,working,fall,good,good,,low,UK,high,low,low,medium
4571,weekend,fall,bad,bad,regular,low,,low,low,low,low
4572,weekend,fall,good,good,regular,low,Europe,high,low,high,high
4573,working,spring,bad,bad,regular,medium,Europe,high,high,high,high
4574,weekend,,good,good,regular,low,Europe,low,low,low,low
4575,holiday,winter,bad,good,regular,medium,Europe,high,low,,low
4576,working,summer,good,good,regular,medium,Europe,high,low,high,low
4577,holiday,winter,bad,bad,regular,medium,UK,low,low,low,medium
4578,working,spring,bad,bad,regular,low,US,low,low,low,low
4579,weekend,spring,good,good,regular,low,UK,low,low,medium,high
4580,working,fall,good,good,regular,low,Europe,high,low,high,high
4581,holiday,summer,good,good,regular,medium,Europe,low,low,low,high
4582,working,summer,good,good,regular,medium,UK,high,low,low,low
4583,working,winter,bad,bad,regular,low,UK,low,low,,low
4584,working,summer,bad,bad,regular,medium,UK,low,low,,high
4585,working,fall,good,good,regular,low,US,high,low,low,low
4586,working,winter,,bad,regular,low,US,high,high,low,low
4587,working,spring,bad,good,increased,medium,UK,high,low,low,low
4588,working,winter,good,good,regular,low,Europe,low,low,low,low
4589,working,fall,bad,bad,regular,low,UK,low,low,low,low
4590,working,,good,good,regular,medium,Europe,high,low,,low
4591,working,fall,bad,bad,regular,low,UK,,low,high,medium
4592,working,,bad,bad,regular,low,Europe,low,low,medium,high
4593,,spring,bad,bad,regular,medium,US,low,low,low,medium
4594,working,fall,good,good,regular,low,Europe,low,low,low,low
4595,weekend,fall,bad,bad,regular,medium,US,low,low,high,medium
4596,working,fall,good,good,regular,low,US,low,low,low,low
4597,working,spring,bad,good,regular,medium,Europe,high,low,medium,high
4598,working,winter,bad,bad,regular,low,Europe,,low,low,low
4599,working,spring,good,good,regular,medium,US,high,low,medium,medium
4600,weekend,winter,bad,bad,regular,low,US,low,low,low,low
4601,working,spring,good,good,regular,,UK,high,low,low,
4602,working,summer,good,good,regular,medium,Europe,high,low,low,low
4603,working,spring,bad,bad,increased,low,Europe,low,low,low,medium
4604,working,summer,bad,bad,regular,medium,Europe,low,low,high,high
4605,working,winter,bad,,regular,medium,UK,low,low,medium,high
4606,working,fall,good,good,regular,medium,Europe,low,low,low,high
4607,weekend,spring,good,,regular,medium,Europe,low,low,low,low
4608,weekend,winter,bad,bad,increased,low,US,low,low,medium,high
4609,weekend,winter,good,good,increased,low,Europe,low,low,low,low
4610,working,fall,good,good,regular,medium,US,low,low,low,medium
4611,weekend,fall,good,good,regular,medium,US,high,low,low,low
4612,working,summer,good,good,regular,medium,Europe,,low,high,high
4613,working,summer,good,good,regular,medium,UK,high,low,medium,medium
4614,working,,good,good,regular,medium,Europe,low,low,,low
4615,working,winter,bad,,regular,low,Europe,low,low,low,low
4616,weekend,winter,bad,bad,regular,low,UK,low,,low,low
4617,working,spring,good,bad,regular,medium,Europe,low,low,medium,
4618,weekend,summer,good,bad,regular,medium,UK,,low,low,low
4619,weekend,fall,bad,good,regular,low,Europe,high,low,low,low
4620,working,summer,good,good,regular,medium,Europe,high,low,medium,high
4621,working,summer,good,good,regular,medium,UK,low,low,medium,low
4622,working,summer,good,bad,regular,medium,US,low,low,low,low
4623,holiday,summer,good,good,regular,medium,UK,high,low,low,low
4624,working,winter,bad,,regular,medium,US,low,low,medium,medium
4625,working,summer,good,good,regular,low,Europe,high,low,high,high
4626,working,fall,bad,good,regular,low,Europe,low,low,low,low
4627,working,fall,bad,bad,regular,low,Europe,low,low,low,low
4628,holiday,winter,bad,bad,regular,low,Europe,low,low,low,low
4629,working,winter,good,bad,regular,low,Europe,low,low,low,medium
4630,weekend,fall,good,good,regular,medium,,high,high,high,medium
4631,working,summer,bad,bad,regular,medium,UK,low,low,low,medium
4632,weekend,spring,,good,regular,low,US,low,low,low,low
4633,,summer,good,good,regular,low,Europe,high,low,low,low
4634,weekend,spring,bad,good,regular,low,Europe,low,low,,low
4635,weekend,winter,bad,bad,regular,medium,US,low,low,medium,medium
4636,weekend,fall,bad,bad,,medium,US,low,low,medium,low
4637,weekend,summer,good,good,,medium,Europe,high,low,low,low
4638,weekend,winter,bad,bad,regular,low,Europe,low,low,low,low
4639,,spring,good,good,regular,medium,Europe,,low,low,low
4640,weekend,spring,good,good,regular,medium,Europe,high,low,medium,medium
